db--table--sql: idc--account_cache-- show full columns from idc.account_cache
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
cache_key,varchar(255),utf8mb4_0900_ai_ci,NO,PRI,,,"select,insert,update,references",
value,longtext,utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
expires,datetime(6),,NO,MUL,,,"select,insert,update,references",
db--table--sql: idc--account_user-- show full columns from idc.account_user
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
password,varchar(128),utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
last_login,datetime(6),,YES,,,,"select,insert,update,references",
is_superuser,tinyint(1),,NO,,,,"select,insert,update,references",
username,varchar(64),utf8mb4_0900_ai_ci,NO,UNI,,,"select,insert,update,references",
nickname,varchar(64),utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
is_staff,tinyint(1),,NO,,,,"select,insert,update,references",
is_active,tinyint(1),,NO,,,,"select,insert,update,references",
date_joined,datetime(6),,NO,,,,"select,insert,update,references",
db--table--sql: idc--account_user_groups-- show full columns from idc.account_user_groups
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
user_id,int,,NO,MUL,,,"select,insert,update,references",
group_id,int,,NO,MUL,,,"select,insert,update,references",
db--table--sql: idc--account_user_property-- show full columns from idc.account_user_property
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
key,varchar(64),utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
value,longtext,utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
user_id,int,,NO,MUL,,,"select,insert,update,references",
db--table--sql: idc--account_user_user_permissions-- show full columns from idc.account_user_user_permissions
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
user_id,int,,NO,MUL,,,"select,insert,update,references",
permission_id,int,,NO,MUL,,,"select,insert,update,references",
db--table--sql: idc--account_verifyinfo-- show full columns from idc.account_verifyinfo
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
code,varchar(6),utf8mb4_0900_ai_ci,NO,,,,"select,insert,update,references",
updated_at,datetime(6),,NO,,,,"select,insert,update,references",
user_id,int,,NO,MUL,,,"select,insert,update,references",
db--table--sql: idc--auth_group-- show full columns from idc.auth_group
Field,Type,Collation,Null,Key,Default,Extra,Privileges,Comment
id,int,,NO,PRI,,auto_increment,"select,insert,update,references",
name,varchar(150),utf8mb4_0900_ai_ci,NO,UNI,,,"select,insert,update,references",
